"b_Intercept","b_BoroughBROOKLYN","b_BoroughMANHATTAN","b_BoroughQUEENS","b_BoroughSTATENISLAND","sigma"
3.73734375372783,-0.118172115589315,-0.373615880735004,-0.213229062220155,-0.304005671001129,1.31498433880417
3.87066024477292,-0.109587100568241,-0.338492814266073,-0.178936539021657,-0.310224924460434,1.32998932720767
3.86459512895192,-0.120701135692466,-0.391044047452811,-0.190333838377212,-0.299837339278557,1.32579144949843
3.83896094241707,-0.134070511892478,-0.388727122956128,-0.192385903592941,-0.362337194855841,1.32264422260075
3.86672295971951,-0.144944307661233,-0.388096051797765,-0.233765551652181,-0.335717316534445,1.32123663324171
3.87312010145877,-0.0958836294317045,-0.336932791485244,-0.169583040226222,-0.292454848614096,1.31636287817544
3.82850348703855,-0.0675423251537041,-0.341373145553132,-0.15901863049195,-0.252299869931038,1.32414492051307
3.94464314572133,-0.135258917432943,-0.340790056648378,-0.195115259776096,-0.261281628080955,1.32116127323699
4.01022282610955,-0.095088260214223,-0.379101107421141,-0.194080657798515,-0.303098050339415,1.3214265631504
4.13218943849754,-0.0987578580334618,-0.388247136036097,-0.181136542838186,-0.284309559319353,1.31949794231804
4.02730305275893,-0.109828984134023,-0.370013117022189,-0.169586736007832,-0.350577314618636,1.32226179321558
4.08182010646849,-0.127139560326913,-0.395267412543714,-0.170654924855555,-0.291567582874704,1.32140797840201
4.01145987005766,-0.110892002738861,-0.388642293004848,-0.168051849824729,-0.283489536085149,1.32307046746961
3.99564693901836,-0.115522881513025,-0.360797499901088,-0.170360950616896,-0.355866852690163,1.32457199621854
3.99268252929364,-0.108040229945776,-0.373068432820921,-0.191959180724264,-0.298132447255573,1.31813121778247
4.00406237837768,-0.107303641424765,-0.364371074954159,-0.183775291750798,-0.29366032278037,1.32624119093526
3.93336136358483,-0.129114113843842,-0.36915961469168,-0.194684639003898,-0.326414732046003,1.32971698955126
3.96922937854536,-0.120239442520404,-0.356632184807093,-0.217521726020891,-0.305567895662633,1.3187894663352
3.94904574701326,-0.113488244632883,-0.382818424460079,-0.226755452455625,-0.298916399599424,1.3218782727494
3.96734143736772,-0.131842510854789,-0.388560761097532,-0.219707494431472,-0.237486948817355,1.3215080460351
3.9495793383094,-0.116806296039377,-0.358486166072708,-0.195018520683602,-0.261168445286886,1.32034176059654
3.99275497597013,-0.150760037982579,-0.402507468575003,-0.224294540607141,-0.310240918454228,1.3223208000424
3.97758414075116,-0.109634837145566,-0.401240545752532,-0.176844122708864,-0.352475502369605,1.32380861680901
3.86760706882757,-0.0943341575253653,-0.373259251135511,-0.184862011766656,-0.310692481764158,1.32196750011242
3.76798470960189,-0.104885382015968,-0.386049324531779,-0.191571673602553,-0.304510907615728,1.3271146458842
3.83523980796259,-0.104277572742106,-0.375624507586852,-0.183839372742311,-0.261862358706544,1.31742524056726
3.88012081572533,-0.0893334032133407,-0.369702912731575,-0.174844484459112,-0.262278854146257,1.31813466088986
3.88021958505659,-0.0890958028759511,-0.365781905409806,-0.179408013662542,-0.342741554564218,1.31667045321269
3.86989001174928,-0.115087780936877,-0.40150934344741,-0.187942950979026,-0.29021788825438,1.32721065129519
3.75662184578884,-0.0907801395089246,-0.370369972559196,-0.170890097200945,-0.29122543245321,1.32003682029874
3.76060932393497,-0.107533227156857,-0.373381658502409,-0.183310760746079,-0.332794686739419,1.32026370219714
3.71806316224683,-0.111160426036235,-0.397926797218736,-0.19658650548646,-0.326592539869627,1.31682385650155
3.74995435763447,-0.143425305715248,-0.367823868117549,-0.21153205461088,-0.316989620597541,1.32670107648595
3.74960723162096,-0.118143321231256,-0.436065669377407,-0.217793457470405,-0.332417447617309,1.3183082859905
3.67553885104884,-0.115940779374312,-0.347938073240146,-0.184892701886733,-0.332370637487815,1.3241959634327
3.84338979368244,-0.104238679402836,-0.362657598319744,-0.167602603166033,-0.260388599181442,1.32277345760099
3.89168444086098,-0.147943458131432,-0.36271266196433,-0.202933401034328,-0.282409213176888,1.31857919568314
3.87047083511778,-0.10656518005387,-0.369418019760444,-0.179979134039308,-0.32753078276218,1.31666560746623
3.85732029082435,-0.0868142284300587,-0.349240176769998,-0.162382486753756,-0.28008878237239,1.32132155608234
3.79769760777437,-0.1398056273632,-0.403048149178532,-0.190087398757736,-0.332942448592596,1.32083606162513
3.69196728581758,-0.0883200133499941,-0.352498246738692,-0.178169561792025,-0.260141853023146,1.32041120546317
3.65230508815962,-0.122369202300837,-0.383468491846323,-0.215362400440934,-0.297484595963639,1.31876787621345
3.65263795006371,-0.106263505620609,-0.358646666418554,-0.174564420421833,-0.248404390059099,1.32785188774324
3.63438022476859,-0.113846551860825,-0.356092155048373,-0.179365753595842,-0.368512794575111,1.31715000803349
3.5233352291591,-0.0860170544138005,-0.337681569770442,-0.168699615412685,-0.307296132535576,1.31704178102955
3.57006442762985,-0.143022750998046,-0.382161006877378,-0.21342929669185,-0.327974869631149,1.31831385481037
3.69784954056846,-0.102552713316558,-0.356554277561611,-0.173579389036977,-0.293819074075977,1.32268302592256
3.76396002068283,-0.104975463886264,-0.345346450418467,-0.150682455126089,-0.308241136875661,1.32247258559752
3.73590799839231,-0.0884470741650506,-0.339639093207779,-0.161655459860537,-0.296161348261226,1.32419666251191
3.74548704349297,-0.0676544757027598,-0.345945712608499,-0.167269839215027,-0.283037391884972,1.32833317769123
3.83985186433134,-0.101601317472899,-0.38638820473232,-0.19319998772364,-0.32288364376935,1.3249235250362
3.83262464405628,-0.0849070526195969,-0.357131976628887,-0.194613149442115,-0.35888479647009,1.3242307780633
3.7973784625483,-0.0845839480743647,-0.372026369502364,-0.170440555448771,-0.342077684138094,1.31730608490462
3.89356423023717,-0.107653342387898,-0.403045836578611,-0.196389987704599,-0.318283575540361,1.32029770366361
3.83225835273861,-0.125273570646544,-0.356124214579806,-0.204200973553274,-0.400944990112386,1.32474207978467
3.80633349106921,-0.109570067745478,-0.371984089189152,-0.192347167681647,-0.358539816015936,1.31677831416748
3.7889600730039,-0.0962306711259522,-0.398839043761137,-0.198354843817263,-0.329332593321069,1.32260003003711
3.73325962114171,-0.106326312038983,-0.393481550643407,-0.202517860479955,-0.289830910139608,1.32400224121347
3.76135413674962,-0.0992586106635895,-0.372643209250168,-0.200283438404253,-0.322551730440291,1.32355904585625
3.78294536290106,-0.10898191532474,-0.380918572599222,-0.212233328188732,-0.266741494470973,1.32061955545807
3.57017120466072,-0.0691811958038129,-0.360481347815236,-0.146215761237772,-0.248470392805972,1.32573772662521
3.59310120095286,-0.11351938812111,-0.397413289490347,-0.223438686200069,-0.282536844996402,1.32377127636897
3.89219528522948,-0.097498405191595,-0.387677273597698,-0.193016432540315,-0.36195631656744,1.32074339918678
3.90049746288826,-0.123342965018196,-0.400831666285916,-0.20736933101036,-0.299680422005146,1.32685916544303
